Point ID,Activation,Points_0,Points_1,Points_2
4477,19,94.945,92.702,270
4478,19,94.626,92.528,270.38
4479,19,94.953,92.612,270.37
4480,18,94.655,95.891,269.51
4481,18,94.486,96.126,269.47
4482,18,94.526,95.773,269.89
4483,18,94.391,96.041,269.75
4484,18,93.009,97.075,270.36
4485,20,94.237,92.515,271.11
4486,20,93.418,92.606,271.92
4487,20,93.834,92.592,271.53
4488,20,94.197,92.611,271.45
4489,20,93.807,92.719,271.92
4490,20,94.136,92.758,271.76
4491,20,94.517,92.705,271.4
4492,20,94.38,92.815,271.66
4493,16,94.417,93.746,271.76
4494,13,94.609,93.799,271.49
4495,13,94.488,94.168,271.48
4496,13,94.362,94.041,271.73
4497,20,93.663,92.789,272.28
4498,20,93.855,93.026,272.35
4499,20,93.582,92.85,272.56
4500,20,93.67,93.075,272.68
4501,20,93.412,93.031,273.14
4502,20,93.268,93.058,273.48
4503,20,93.322,93.406,273.5
4504,20,93.457,93.401,273.23
4505,16,94.252,93.38,272.01
4506,16,94.234,93.781,271.99
4507,13,93.722,94.963,271.92
4508,18,92.881,96.942,270.67
4509,18,92.757,97.225,270.49
4510,13,93.609,94.846,272.2
4511,13,93.482,95.125,272.07
4512,14,92.166,94.177,274.73
4513,13,92.418,94.032,274.59
4514,14,92.533,94.157,274.32
4515,13,92.29,94.306,274.46
4516,16,88.158,96.5,275.1
4517,16,88.416,96.379,274.97
4518,16,88.594,96.218,275.13
4519,16,88.551,96.095,275.5
4520,20,88.278,95.892,276.35
4521,20,88.068,96.095,276.28
4522,20,87.986,96.016,276.57
4523,20,87.834,96.27,276.33
4524,19,90.2,95.802,274.35
4525,18,90.54,95.704,274.24
4526,18,90.603,95.515,274.46
4527,18,90.35,95.606,274.54
4528,17,91.774,95.093,274.04
4529,17,91.72,95.302,273.82
4530,17,92.122,94.943,273.9
4531,17,92.254,95.065,273.62
4532,20,88.065,94.538,278.63
4533,21,88.189,94.644,278.36
4534,20,87.799,94.655,278.76
4535,20,87.356,95.379,278.32
4536,20,87.507,95.134,278.47
4537,20,87.236,95.26,278.59
4538,20,86.984,95.009,279.13
4539,20,87.112,95.136,278.86
4540,20,86.837,95.258,278.99
4541,20,86.963,95.385,278.72
4542,20,87.086,95.509,278.44
4543,20,87.922,94.768,278.49
4544,27,96.201,100.27,257.11
4545,27,96.46,100.37,256.98
4546,27,96.621,100.57,257.14
4547,27,96.365,100.47,257.26
4548,27,97.906,100.88,256.87
4549,27,98.265,101.11,257.03
4550,27,98.281,100.9,256.88
4551,27,95.57,100.46,259.1
4552,27,95.739,100.7,259.12
4553,27,95.793,100.66,258.72
4554,27,95.588,100.47,258.85
